Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Flagged),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Build Real-Time Currency Converter with Custom Naira to Dollar Rate,ZYG-131,10130,Story,Peer Review,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,Michael David,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,Michael David,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,Michael David,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,25/Jul/24 1:59 AM,26/Jul/24 10:09 AM,30/Aug/24 9:02 PM,,,0,,"We want to develop a real-time currency converter with the following requirements:

# *Real-Time Updates:* The currency converter should update exchange rates in real-time.
# *Custom Naira to Dollar Conversion:* When converting from Naira to Dollar, the converter should add an extra 20 Naira to the exchange rate.

h3. ",,Michael David,,,,,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000p9:,,,Bug Sprint,,,,,,,,,,,,,,,,,,,,,,,,In Progress,25/Jul/24 1:59 AM
Implement Backend Authentication and Session Validation and session Creation,ZYG-130,10129,Story,Peer Review,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,Michael David,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,Michael David,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,Michael David,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,19/Jul/24 10:15 AM,31/Jul/24 10:03 AM,30/Aug/24 9:02 PM,,,0,,"Currently, authentication is handled from the frontend. For a user to log in, the mobile version makes a request to Firebase and sends the data to the backend. We need to transition to creating and validating sessions through the backend. The feature should be developed but not deployed yet

*Acceptance Criteria:*

# Develop backend functionality for creating and validating sessions.
# Ensure mobile version requests are redirected to the backend for authentication.
# Maintain compatibility with Firebase for initial authentication requests.
# Test the new backend session management thoroughly.
# Do not deploy the new feature until further notice.",,Michael David,,,,,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000pa:,,,Bug Sprint,,,,,,,,,,,,,,,,,,,,,,,,In Progress,19/Jul/24 10:15 AM
Improve electricity receipt for user's use in required institutions.,ZYG-129,10128,Story,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,18/Jul/24 11:24 AM,18/Jul/24 11:24 AM,18/Jul/24 11:25 AM,,,0,,[https://zyggyteam.slack.com/archives/C064SMU2T5M/p1721297905275139|https://zyggyteam.slack.com/archives/C064SMU2T5M/p1721297905275139|smart-link] ,,ayokodipo,,,,,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000qv:,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,18/Jul/24 11:24 AM
Improve modality for fetching names when beneficiary is already added.,ZYG-128,10127,Story,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,18/Jul/24 7:23 AM,18/Jul/24 7:32 AM,30/Aug/24 9:02 PM,,,0,,"When user attempts to send money to a saved beneficiary, proceed button is greyed out until account number is revalidated.

If beneficiary is already added, there is no need to grey out button before revalidation. On our part, we can autodelete any deactivated user from beneficiaries list so they don’t appear. 

",,ayokodipo,,,,,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,,,,,,,,,,,,,,,,,,,18/Jul/24 7:29 AM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;VID-20240718-WA0000.mp4;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10104,,,,,,,,,,,,,,,,,,,,,,,0|i000qn:,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,18/Jul/24 7:23 AM
Improve Account Setup Screen.,ZYG-127,10126,Story,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,18/Jul/24 7:21 AM,18/Jul/24 7:21 AM,30/Aug/24 9:02 PM,,,0,,"*Current implementation:* The screen is displayed when user reopens the app even when setup is 100%.

*Proposed implementation:* Once account setup is at 100%, there should be no need to display the screen when user restarts the app.
Also, there should be account setup screen accessible from the Settings section of the app so user can always update requirements without having to restart the app.
Also, kindly flesh out what parts can be editted after initial saved input and process for updating details.",,ayokodipo,,,,,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000qf:,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,18/Jul/24 7:21 AM
Add option to delete beneficiaries and add beneficiaries even without a transaction.,ZYG-126,10125,Story,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,18/Jul/24 7:14 AM,18/Jul/24 7:14 AM,30/Aug/24 9:02 PM,,,0,,"Add  delete functionality to beneficiaries screen.

Also, implement beneficiaries in such a way that user can save a beneficiary on the list so as to make a transaction in the future.",,ayokodipo,,,,,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000q7:,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,18/Jul/24 7:14 AM
Go-Live checklist,ZYG-125,10124,Story,In Progress,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,,,Edward French,70121:74964859-65d0-4408-b9d7-c71f323c2149,Edward French,70121:74964859-65d0-4408-b9d7-c71f323c2149,15/Jul/24 4:37 PM,19/Jul/24 11:13 AM,16/Jul/24 7:15 AM,,,1,,"As we have been using the Production environment for testing we need to ensure that this is cleared out and highly secure before we go Live.



Pre go-Live:

* change any hosting/DB passwords if shared widely - [~accountid:712020:188b1e28-5229-4307-b932-746c6bf21187] , [~accountid:70121:74964859-65d0-4408-b9d7-c71f323c2149] 
* remove all Production DB data [~accountid:6371350a5fce844d60662eb2] 
* remove all Production Firebase data [~accountid:5f6e4e4ded55c7006af8793c] 
* remove all Production 3rd party provider data ?
* pipe clean environment (quick end-to-end test) - [~accountid:6371350a5fce844d60662eb2] 
* ensure automated daily backups are enabled - [~accountid:6371350a5fce844d60662eb2] 
* ensure alerting is functioning (e.g. disk space low, server CPU usage over threshold, environment unavailable, etc) - [~accountid:6371350a5fce844d60662eb2] 
* Complete Power BI Integration - [~accountid:712020:188b1e28-5229-4307-b932-746c6bf21187] 
* Fund Base Accounts - [~accountid:712020:188b1e28-5229-4307-b932-746c6bf21187] 
* send launch emails out to people on waitlist (not all at once in case of issues) - [~accountid:712020:188b1e28-5229-4307-b932-746c6bf21187] 
* ensure all security enabled e.g. NIN checks - [~accountid:70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19] 



Post go-Live:

* ensure frequent monitoring of platform and alerts 
* monitor any failed sign-up attempts and transaction attempts",,Edward French,,,,,70121:74964859-65d0-4408-b9d7-c71f323c2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002y:,,,Bug Sprint,,,,,,,,,,,,,,,,,,,,,,,,In Progress,19/Jul/24 11:13 AM
User tag's availability.,ZYG-124,10123,Story,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,12/Jul/24 9:48 AM,17/Jul/24 8:58 PM,30/Aug/24 9:02 PM,,,0,,"

!IMG_20240712_085320_966.jpg|width=3456,height=3456,alt=""IMG_20240712_085320_966.jpg""!



!IMG_20240712_085546.jpg|width=3000,height=4000,alt=""IMG_20240712_085546.jpg""!

In the next sprint, we should be able to implement the availability status of user tags. The “already taken” message comes as an error when you tap on “create tag”. 

The tags' availability should show under the tag as it is written.",,ayokodipo,,,,,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,,,,,,,,,,,,,,,,,,ZYG-95,12/Jul/24 9:48 AM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;IMG_20240712_085320_966.jpg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10099,12/Jul/24 9:48 AM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;IMG_20240712_085546.jpg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10100,,,,,,,,,,,,,,,,,,,,,,0|i000pz:,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,12/Jul/24 9:48 AM
Grey out Proceed button if user's balance is insufficient.,ZYG-123,10122,Story,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,11/Jul/24 5:42 PM,11/Jul/24 5:43 PM,30/Aug/24 9:02 PM,,,0,,"

!VID-20240711-WA0017.mp4|width=368,height=656,alt=""VID-20240711-WA0017.mp4""!

Can be implemented in the next sprint.",,ayokodipo,,,,,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,,,,,,,,,,,,,,,,,,,11/Jul/24 5:42 PM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;VID-20240711-WA0017.mp4;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10098,,,,,,,,,,,,,,,,,,,,,,,0|i000pr:,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jul/24 5:42 PM
Script to Fix Incorrect Datetime Format in User Transaction Table,ZYG-122,10121,Story,Ready for production,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,Michael David,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,Michael David,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,Michael David,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,10/Jul/24 12:26 PM,25/Jul/24 11:47 AM,25/Jul/24 11:47 AM,,,0,,"A script is needed to correct the datetime format for entries in the user transaction table. This is a one-time fix and should be designed to be run locally. The script should identify entries with the incorrect datetime format and update them to the correct format.

*Acceptance Criteria:*

* Write a script to identify and correct datetime entries with the wrong format in the user transaction table.
* Ensure the script can be run locally.
* Test the script to confirm all incorrect datetime formats are corrected.",,Michael David,,,,,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000pb:,,,Bug Sprint,,,,,,,,,,,,,,,,,,,,,,,,In Progress,10/Jul/24 12:26 PM
Modify Payment Processing View to Format Timestamp Properly,ZYG-121,10120,Story,Peer Review,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,Michael David,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,Michael David,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,Michael David,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,10/Jul/24 12:10 PM,10/Jul/24 12:22 PM,30/Aug/24 9:02 PM,,,0,,"The current view responsible for processing payments needs to be updated to ensure the timestamp sent by the frontend is correctly formatted before saving it in the database. The timestamp is currently being sent in the format {{YYYYMMDDHHMM}} and needs to be formatted to {{YYYY-MM-DD HH:MM}}.

*Acceptance Criteria:*

* Update the view handling payment processing.
* Ensure the timestamp received from the frontend ({{YYYYMMDDHHMM}}) is formatted to {{YYYY-MM-DD HH:MM}} before saving to the database.
* Test the implementation to ensure timestamps are saved correctly in the desired format",,Michael David,,,,,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000p3:,,,Bug Sprint,,,,,,,,,,,"10/Jul/24 12:21 PM;712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a;PR has been pushed and I await review [~accountid:6371350a5fce844d60662eb2] 

cc [~accountid:70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19] [~accountid:5f6e4e4ded55c7006af8793c] ","10/Jul/24 12:22 PM;712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a;[~accountid:5f6e4e4ded55c7006af8793c] the changes are backward compatible, so you dont need to make any modifications on your end as to the data being sent",,,,,,,,,,,,In Progress,10/Jul/24 12:10 PM
Update conversion rate on card creation screen in real-time.,ZYG-120,10119,Bug,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,09/Jul/24 4:17 PM,09/Jul/24 4:17 PM,30/Aug/24 9:02 PM,,,0,,"h3. Description



!IMG_20240709_160702_700.jpg|width=3456,height=3456,alt=""IMG_20240709_160702_700.jpg""!



h3. STEPS



h3. EXPECTED RESULT 

h3. ACTUAL RESULT",,ayokodipo,David Yamah,,,,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,09/Jul/24 4:17 PM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;IMG_20240709_160702_700.jpg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10092,,,,,,,,,,,,,,,,,,,,,,,0|i000ov:,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,09/Jul/24 4:17 PM
CABLE TV - Multiple Issues.,ZYG-117,10116,Bug,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,folaranmiaderinto,712020:af655a80-53c3-4600-8121-2d72f4132621,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,09/Jul/24 1:13 PM,09/Jul/24 3:35 PM,25/Jul/24 11:32 AM,,,0,,"h3. Description



!VID_20240709_125251.mp4|width=720,height=1280,alt=""VID_20240709_125251.mp4""!

h3. STEPS



h3. EXPECTED RESULT 

h3. ACTUAL RESULT

# Temporary blank screen when user opens the packages screen.
# Account renewal is selectable and displays N1 (not sure how this is supposed to work)
# Close button is not functional.",,ayokodipo,David Yamah,,,,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,09/Jul/24 1:13 PM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;VID_20240709_125251.mp4;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10091,,,,,,,,,,,,,,,,,,,,,,,0|i000om:,,,Bug Sprint,,,,,,,,,2024-07-09 14:35:33.176,,09/Jul/24 3:35 PM;70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19;[~accountid:712020:af655a80-53c3-4600-8121-2d72f4132621] ,,,,,,,,,,,,,To Do,09/Jul/24 1:13 PM
